TimeStamp,joint_1_rad,joint_2_rad,joint_3_rad,joint_4_rad,joint_5_rad,joint_6_rad,joint_7_rad,joint_8_rad,joint_9_rad,joint_10_rad,joint_11_rad,joint_12_rad,EndSignal
1660392740.24234,-0.1531248688697815,-5.640546163476756e-08,-0.6721331477165222,0.8303475975990295,2.3141659255543345e-08,-0.6807063221931458,0.5875108242034912,-3.8284113657027774e-08,-1.1770118474960327,0.5866682529449463,2.1191411292420526e-08,-1.1713696718215942,9.108277509994878e-08
1660392740.2622297,-0.14747539162635803,-5.587180140764758e-08,-0.678933322429657,0.8456486463546753,2.5250919577501918e-08,-0.7112017869949341,0.5928391814231873,-3.7615180303873785e-08,-1.193491816520691,0.5895410180091858,2.1463577581926074e-08,-1.1713485717773438,9.108277509994878e-08
1660392740.3148198,-0.13838668167591095,-5.501014044284602e-08,-0.6897808313369751,0.8686384558677673,2.8537634477743268e-08,-0.7572202086448669,0.6008093953132629,-3.659167191472079e-08,-1.2190276384353638,0.5941803455352783,2.1900532942709106e-08,-1.171260952949524,9.108277509994878e-08
1660392740.3704193,-0.1261643022298813,-5.384531931440506e-08,-0.7041893005371094,0.897138237953186,3.282217875266724e-08,-0.8145902156829834,0.6107016205787659,-3.527330250108207e-08,-1.2521289587020874,0.6004498600959778,2.2485593831333972e-08,-1.1710349321365356,9.108277509994878e-08
1660392740.4296968,-0.11113052815198898,-5.24029601933762e-08,-0.7216310501098633,0.9292323589324951,3.7954343667934154e-08,-0.8796792030334473,0.621462881565094,-3.3779812724787917e-08,-1.2907577753067017,0.6082024574279785,2.320011560641433e-08,-1.1705793142318726,9.108277509994878e-08
1660392740.486365,-0.09360858798027039,-5.0708486298844946e-08,-0.7415706515312195,0.9633639454841614,4.381629281624555e-08,-0.9495918154716492,0.6323646903038025,-3.2178533615478955e-08,-1.3334842920303345,0.6172829270362854,2.4023663058869715e-08,-1.1697880029678345,9.108277509994878e-08
1660392740.54556,-0.07391223311424255,-4.8786468198613875e-08,-0.7634871602058411,0.9983054995536804,5.0316309341269516e-08,-1.0221128463745117,0.6426331400871277,-3.055446029520681e-08,-1.3788264989852905,0.6275290846824646,2.4934578846114164e-08,-1.168545126914978,9.108277509994878e-08
1660392740.604842,-0.052339524030685425,-4.6660439068091364e-08,-0.7868899703025818,1.0330833196640015,5.737887676104947e-08,-1.0955628156661987,0.6515619158744812,-2.899285789226269e-08,-1.425434947013855,0.6387742757797241,2.5910111389748636e-08,-1.1667284965515137,9.108277509994878e-08
1660392740.6619425,-0.02916788123548031,-4.435259626234256e-08,-0.8113295435905457,1.0669032335281372,6.493473136970351e-08,-1.1686503887176514,0.6585195064544678,4.77763464346026e-08,-1.472089409828186,0.6508486866950989,2.6927025942313776e-08,-1.1642138957977295,9.108277509994878e-08
1660392740.721763,-0.0046545048244297504,-4.188408553318368e-08,-0.836398720741272,1.0990911722183228,1.04072839235414e-08,-1.2403563261032104,0.6629531979560852,5.220845622488923e-08,-1.517684817314148,0.6635806560516357,2.796170406327292e-08,-1.1608785390853882,9.108277509994878e-08
1660392740.7777998,0.02096477523446083,-3.927497260747259e-08,-0.8617368340492249,1.1290470361709595,1.5418329724070645e-08,-1.3098421096801758,0.6643933057785034,5.645829759259868e-08,-1.5612143278121948,0.6767988801002502,2.899090389973935e-08,-1.1566036939620972,9.108277509994878e-08
1660392740.8341768,0.047473132610321045,-3.654464109104083e-08,-0.887026846408844,1.1562144756317139,2.0387247445796675e-08,-1.3763859272003174,0.6625950932502747,6.041855016292175e-08,-1.601956844329834,0.6903333067893982,2.999180281904046e-08,-1.151277780532837,9.108277509994878e-08
1660392740.8939202,0.0746702030301094,-3.371203405322376e-08,-0.9119908809661865,1.1800600290298462,2.521634456797983e-08,-1.4393351078033447,0.657010555267334,6.378402161999475e-08,-1.6386513710021973,0.7040172219276428,3.0942736373162916e-08,-1.1447985172271729,9.108277509994878e-08
1660392740.9505904,0.10236579924821854,-3.079640009673312e-08,-0.9363805651664734,1.2000612020492554,2.9790221844905318e-08,-1.4980705976486206,0.6475871801376343,6.641499084025781e-08,-1.6706926822662354,0.7176883816719055,3.182329777473569e-08,-1.137075424194336,9.108277509994878e-08
1660392741.009992,0.13039180636405945,-2.7815936221031734e-08,-0.9599993824958801,1.215701699256897,3.3973783786223066e-08,-1.5519797801971436,0.6342579126358032,6.811733754830129e-08,-1.697327971458435,0.73119056224823,3.261504133433846e-08,-1.1280311346054077,9.108277509994878e-08
1660392741.0702295,0.15858562290668488,-2.4789422070625733e-08,-0.9826727509498596,1.2264741659164429,3.761201838869965e-08,-1.6004353761672974,0.6170700192451477,6.871115232343072e-08,-1.717848300933838,0.7443749308586121,3.3301539303920435e-08,-1.1176031827926636,9.108277509994878e-08
1660392741.1292074,0.18678033351898193,-2.1737484701134235e-08,-1.0042285919189453,1.2318873405456543,4.0532647460622684e-08,-1.6427768468856812,0.5961802005767822,6.804628327472528e-08,-1.7315810918807983,0.7571016550064087,3.386897873269845e-08,-1.1057453155517578,9.108277509994878e-08
1660392741.1865764,0.21483291685581207,-1.867935139898691e-08,-1.0245529413223267,1.231481671333313,4.255272045838865e-08,-1.6782969236373901,0.5717080235481262,6.594773793722197e-08,-1.7376999855041504,0.769241213798523,3.4306104623738065e-08,-1.0924285650253296,9.108277509994878e-08
