TimeStamp,joint_1_rad,joint_2_rad,joint_3_rad,joint_4_rad,joint_5_rad,joint_6_rad,joint_7_rad,joint_8_rad,joint_9_rad,joint_10_rad,joint_11_rad,joint_12_rad,EndSignal
1660391975.4878173,0.536830723285675,-4.223392835456252e-08,-1.2820202112197876,0.8732025027275085,-7.140328506238802e-08,-1.1848841905593872,0.536830723285675,-4.223393545998988e-08,-1.2820202112197876,0.8754795789718628,-7.112598865433029e-08,-1.1814138889312744,9.108277509994878e-08
1660391975.5031607,0.536830723285675,-4.223392835456252e-08,-1.2820202112197876,0.8732025027275085,-7.140328506238802e-08,-1.1848841905593872,0.536830723285675,-4.223393545998988e-08,-1.2820202112197876,0.8754795789718628,-7.112598865433029e-08,-1.1814138889312744,9.108277509994878e-08
1660391978.4902816,0.502792239189148,-0.04923003539443016,-1.2255518436431885,0.8311250805854797,-0.024622706696391106,-1.1279377937316895,0.5705695152282715,-0.05271085724234581,-1.3416606187820435,0.9104112386703491,-0.025394633412361145,-1.229773998260498,9.108277509994878e-08
1660391978.5427969,0.4198416769504547,-0.15511342883110046,-1.0767872333526611,0.7287982702255249,-0.08001584559679031,-0.9799308776855469,0.6547320485115051,-0.19589383900165558,-1.4721686840057373,0.9957327842712402,-0.08981665223836899,-1.339309573173523,9.108277509994878e-08
1660391978.6050048,0.3085240423679352,-0.2625161111354828,-0.8639602065086365,0.5968453884124756,-0.1402772068977356,-0.7713388800621033,0.7724711298942566,-0.4066395163536072,-1.6080611944198608,1.103270411491394,-0.17416568100452423,-1.4603241682052612,9.108277509994878e-08
1660391978.6544635,0.1890547126531601,-0.3386366665363312,-0.6339729428291321,0.464218407869339,-0.1861967295408249,-0.5456410646438599,0.9028847217559814,-0.6304721832275391,-1.706343650817871,1.1999633312225342,-0.25127333402633667,-1.5540612936019897,9.108277509994878e-08
1660391978.7098298,0.12296159565448761,-0.36721083521842957,-0.5089800953865051,0.3931838870048523,-0.20429307222366333,-0.41955456137657166,0.9733821153640747,-0.743629515171051,-1.7433143854141235,1.2426620721817017,-0.28534701466560364,-1.5913276672363281,9.108277509994878e-08
1660391978.7624462,0.12296159565448761,-0.36721083521842957,-0.5089800953865051,0.3931838870048523,-0.20429307222366333,-0.41955456137657166,0.9733821153640747,-0.743629515171051,-1.7433143854141235,1.2426620721817017,-0.28534701466560364,-1.5913276672363281,9.108277509994878e-08
1660391978.8208876,0.12296159565448761,-0.36721083521842957,-0.5089800953865051,0.3931838870048523,-0.20429307222366333,-0.41955456137657166,0.9733821153640747,-0.743629515171051,-1.7433143854141235,1.2426620721817017,-0.28534701466560364,-1.5913276672363281,9.108277509994878e-08
1660391978.8707821,0.12296159565448761,-0.36721083521842957,-0.5089800953865051,0.3931838870048523,-0.20429307222366333,-0.41955456137657166,0.9733821153640747,-0.743629515171051,-1.7433143854141235,1.2426620721817017,-0.28534701466560364,-1.5913276672363281,9.108277509994878e-08
1660391978.9300654,0.12296159565448761,-0.36721083521842957,-0.5089800953865051,0.3931838870048523,-0.20429307222366333,-0.41955456137657166,0.9733821153640747,-0.743629515171051,-1.7433143854141235,1.2426620721817017,-0.28534701466560364,-1.5913276672363281,9.108277509994878e-08
1660391978.9898283,0.12296159565448761,-0.36721083521842957,-0.5089800953865051,0.3931838870048523,-0.20429307222366333,-0.41955456137657166,0.9733821153640747,-0.743629515171051,-1.7433143854141235,1.2426620721817017,-0.28534701466560364,-1.5913276672363281,9.108277509994878e-08
1660391979.0466995,0.1890547275543213,-0.33863669633865356,-0.6339730024337769,0.464218407869339,-0.18619681894779205,-0.5456410646438599,0.9028847217559814,-0.6304721236228943,-1.706343650817871,1.1999633312225342,-0.2512732744216919,-1.5540611743927002,9.108277509994878e-08
1660391979.1020942,0.3085240423679352,-0.262516051530838,-0.8639602661132812,0.5968453884124756,-0.1402771919965744,-0.7713387608528137,0.7724710702896118,-0.40663954615592957,-1.6080610752105713,1.1032702922821045,-0.17416563630104065,-1.4603240489959717,9.108277509994878e-08
1660391979.158458,0.4198417067527771,-0.15511341392993927,-1.0767872333526611,0.7287982702255249,-0.08001585304737091,-0.9799308776855469,0.6547320485115051,-0.19589382410049438,-1.4721686840057373,0.9957327842712402,-0.08981665223836899,-1.3393094539642334,9.108277509994878e-08
1660391979.218197,0.5027923583984375,-0.04922997206449509,-1.225551962852478,0.8311251997947693,-0.024622708559036255,-1.1279375553131104,0.5705693960189819,-0.052710771560668945,-1.3416602611541748,0.9104112386703491,-0.02539457567036152,-1.2297741174697876,9.108277509994878e-08
1660391979.270297,0.536830723285675,-4.223392835456252e-08,-1.2820202112197876,0.8732025027275085,-7.140328506238802e-08,-1.1848841905593872,0.536830723285675,-4.223393545998988e-08,-1.2820202112197876,0.8754795789718628,-7.112598865433029e-08,-1.1814138889312744,9.108277509994878e-08
1660391979.3303983,0.536830723285675,-4.223392835456252e-08,-1.2820202112197876,0.8732025027275085,-7.140328506238802e-08,-1.1848841905593872,0.536830723285675,-4.223393545998988e-08,-1.2820202112197876,0.8754795789718628,-7.112598865433029e-08,-1.1814138889312744,9.108277509994878e-08
1660391979.3931234,0.536830723285675,-4.223392835456252e-08,-1.2820202112197876,0.8732025027275085,-7.140328506238802e-08,-1.1848841905593872,0.536830723285675,-4.223393545998988e-08,-1.2820202112197876,0.8754795789718628,-7.112598865433029e-08,-1.1814138889312744,9.108277509994878e-08
