TimeStamp,dt,ax,ay,az,vx,vy,vz,ax,ay,az
1643124562.9364283,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124562.941994,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124562.9473894,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124562.9529035,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124562.9581463,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124562.963395,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124562.9686615,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124562.9738986,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124562.9791317,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124562.9843688,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124562.989633,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124562.9950504,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.0003827,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.0056303,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.0110195,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.0164204,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.0217116,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.0270123,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.0323007,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.0375316,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.0428114,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.048114,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.0533676,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.0586145,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.0638676,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.0691462,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.0744145,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.0796528,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.0848844,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.0901575,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.0954208,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.1006866,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.1059759,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.1113868,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.1166263,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.1218522,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.127303,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.1325414,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.1377556,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.143009,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.1482875,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.1535113,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.158815,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.1642656,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.169519,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.1747897,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.1801035,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.1853604,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.1906266,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.195878,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.2011325,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.2064083,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.211695,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.2169318,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.2222278,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.2275321,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.232789,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.2380762,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.2435675,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.2488182,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.254083,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.2593656,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.2646844,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.2699642,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.2754061,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.280715,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.2859695,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.2912304,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.2964668,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.301687,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.3071072,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.3125207,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.3177707,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.3233263,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.3285818,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.3338382,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.3390768,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.3442864,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.3495104,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.3547714,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.3600135,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.365254,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.3705626,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.375853,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.3810992,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.3863873,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.3916855,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.3969688,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.4022324,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.4075048,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.4127688,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643124563.4180043,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
