TimeStamp,joint_1_rad,joint_2_rad,joint_3_rad,joint_4_rad,joint_5_rad,joint_6_rad,joint_7_rad,joint_8_rad,joint_9_rad,joint_10_rad,joint_11_rad,joint_12_rad,EndSignal
1652618426.988731,0.502792239189148,-0.04923015460371971,-1.2255518436431885,0.8311249017715454,-0.02462282031774521,-1.1279374361038208,0.5705693960189819,-0.05271098390221596,-1.3416606187820435,0.9104112386703491,-0.025394698604941368,-1.2297741174697876,9.108277509994878e-08
1652618427.0758715,0.4198415279388428,-0.15511350333690643,-1.0767868757247925,0.7287983894348145,-0.08001584559679031,-0.9799309968948364,0.6547320485115051,-0.19589391350746155,-1.4721686840057373,0.9957329630851746,-0.08981667459011078,-1.3393096923828125,9.108277509994878e-08
1652618427.1409047,0.30852460861206055,-0.2625162601470947,-0.8639614582061768,0.5968462228775024,-0.14027737081050873,-0.7713403105735779,0.7724713087081909,-0.40663942694664,-1.6080615520477295,1.1032707691192627,-0.1741655468940735,-1.4603246450424194,9.108277509994878e-08
1652618427.208843,0.18905465304851532,-0.338636577129364,-0.6339725255966187,0.4642183184623718,-0.18619666993618011,-0.5456410050392151,0.9028845429420471,-0.6304718852043152,-1.706343173980713,1.1999629735946655,-0.2512733042240143,-1.5540608167648315,9.108277509994878e-08
1652618427.28033,0.12296159565448761,-0.36721083521842957,-0.5089800953865051,0.3931838870048523,-0.20429307222366333,-0.41955456137657166,0.9733821153640747,-0.743629515171051,-1.7433143854141235,1.2426620721817017,-0.28534701466560364,-1.5913276672363281,9.108277509994878e-08
1652618427.3407283,0.12296159565448761,-0.36721083521842957,-0.5089800953865051,0.3931838870048523,-0.20429307222366333,-0.41955456137657166,0.9733821153640747,-0.743629515171051,-1.7433143854141235,1.2426620721817017,-0.28534701466560364,-1.5913276672363281,9.108277509994878e-08
1652618427.4082246,0.12296159565448761,-0.36721083521842957,-0.5089800953865051,0.3931838870048523,-0.20429307222366333,-0.41955456137657166,0.9733821153640747,-0.743629515171051,-1.7433143854141235,1.2426620721817017,-0.28534701466560364,-1.5913276672363281,9.108277509994878e-08
1652618427.476245,0.12296159565448761,-0.36721083521842957,-0.5089800953865051,0.3931838870048523,-0.20429307222366333,-0.41955456137657166,0.9733821153640747,-0.743629515171051,-1.7433143854141235,1.2426620721817017,-0.28534701466560364,-1.5913276672363281,9.108277509994878e-08
1652618427.543697,0.12296159565448761,-0.36721083521842957,-0.5089800953865051,0.3931838870048523,-0.20429307222366333,-0.41955456137657166,0.9733821153640747,-0.743629515171051,-1.7433143854141235,1.2426620721817017,-0.28534701466560364,-1.5913276672363281,9.108277509994878e-08
1652618427.6108437,0.12296159565448761,-0.36721083521842957,-0.5089800953865051,0.3931838870048523,-0.20429307222366333,-0.41955456137657166,0.9733821153640747,-0.743629515171051,-1.7433143854141235,1.2426620721817017,-0.28534701466560364,-1.5913276672363281,9.108277509994878e-08
1652618427.6799436,0.1890546679496765,-0.33863651752471924,-0.6339726448059082,0.46421825885772705,-0.1861967295408249,-0.5456409454345703,0.9028845429420471,-0.6304718255996704,-1.7063432931900024,1.1999629735946655,-0.25127339363098145,-1.5540608167648315,9.108277509994878e-08
1652618427.7476711,0.3085244297981262,-0.2625161409378052,-0.8639609217643738,0.5968458652496338,-0.14027734100818634,-0.7713396549224854,0.7724711298942566,-0.4066392779350281,-1.60806143283844,1.103270411491394,-0.1741654872894287,-1.4603244066238403,9.108277509994878e-08
1652618427.8165758,0.4198415279388428,-0.15511350333690643,-1.0767868757247925,0.7287983894348145,-0.08001584559679031,-0.9799309968948364,0.6547322273254395,-0.1958940476179123,-1.472169041633606,0.9957329034805298,-0.08981674909591675,-1.339309811592102,9.108277509994878e-08
1652618427.8926876,0.502792239189148,-0.04923015460371971,-1.2255518436431885,0.8311249017715454,-0.024622822180390358,-1.1279374361038208,0.5705693960189819,-0.05271098390221596,-1.3416606187820435,0.9104112386703491,-0.025394698604941368,-1.2297741174697876,9.108277509994878e-08
1652618427.95679,0.536830723285675,-4.223392835456252e-08,-1.2820202112197876,0.8732025027275085,-7.140328506238802e-08,-1.1848841905593872,0.536830723285675,-4.223393545998988e-08,-1.2820202112197876,0.8754795789718628,-7.112598865433029e-08,-1.1814138889312744,9.108277509994878e-08
1652618428.0241683,0.536830723285675,-4.223392835456252e-08,-1.2820202112197876,0.8732025027275085,-7.140328506238802e-08,-1.1848841905593872,0.536830723285675,-4.223393545998988e-08,-1.2820202112197876,0.8754795789718628,-7.112598865433029e-08,-1.1814138889312744,9.108277509994878e-08
1652618428.0915747,0.536830723285675,-4.223392835456252e-08,-1.2820202112197876,0.8732025027275085,-7.140328506238802e-08,-1.1848841905593872,0.536830723285675,-4.223393545998988e-08,-1.2820202112197876,0.8754795789718628,-7.112598865433029e-08,-1.1814138889312744,9.108277509994878e-08
1652618428.15664,0.536830723285675,-4.223392835456252e-08,-1.2820202112197876,0.8732025027275085,-7.140328506238802e-08,-1.1848841905593872,0.536830723285675,-4.223393545998988e-08,-1.2820202112197876,0.8754795789718628,-7.112598865433029e-08,-1.1814138889312744,9.108277509994878e-08
1652618428.2233899,0.536830723285675,-4.223392835456252e-08,-1.2820202112197876,0.8732025027275085,-7.140328506238802e-08,-1.1848841905593872,0.536830723285675,-4.223393545998988e-08,-1.2820202112197876,0.8754795789718628,-7.112598865433029e-08,-1.1814138889312744,9.108277509994878e-08
